27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,31,33,33,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,30,33,33,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
27,27,21,21,21,21,21,21,21,21,21,27,27,27,27,27,27,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
27,27,21,0,0,0,0,0,0,0,21,27,27,27,27,27,27,30,33,0,0,36,0,0,0,0,0,0,0,0,36,0,0,0,0,21,21
27,27,21,0,33,0,0,0,33,0,21,27,27,27,27,27,27,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
27,27,21,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
27,27,21,0,0,0,0,0,0,0,21,27,27,27,27,27,27,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
27,27,21,0,33,0,0,0,33,0,21,27,27,27,27,27,27,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
27,27,21,0,0,0,0,0,0,0,21,27,27,27,27,27,27,30,33,0,0,36,0,0,0,0,0,0,0,0,36,0,0,0,0,21,21
27,27,21,21,21,21,21,21,21,21,21,27,27,27,27,27,27,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,30,33,0,0,0,0,0,0,22,23,23,23,24,0,0,0,0,0,21,21
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,33,33,23,23,23,23,23,21,21,21,21,21,23,23,24,3,3,21,21
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,3,3,53,53
50,51,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,50,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
50,2,2,52,52,2,2,2,2,2,2,2,2,52,52,2,2,50,53,0,0,53,0,0,0,0,0,0,0,0,0,0,53,0,0,53,53
50,2,2,2,2,2,37,38,38,38,38,39,2,2,2,2,2,50,53,0,0,53,0,0,53,0,0,0,0,53,0,0,53,0,0,53,53
50,2,2,2,2,2,40,41,41,41,41,42,2,2,2,2,2,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
50,2,2,2,2,2,43,44,44,44,44,45,2,2,2,2,2,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,53,0,0,53,0,0,53,0,0,0,0,53,0,0,53,0,0,53,53
50,2,2,52,52,2,2,2,2,2,2,2,2,52,52,2,2,50,53,0,0,53,0,0,0,0,0,0,0,0,0,0,53,0,0,53,53
50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
50,48,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,53
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
